date,ts_code,close,open,high,low,pre_close,change,pct_chg,volume,amount,returns,logReturns,ma5,ma20,ma60,volatility
2023-01-03,000300.SH,3887.8992,3864.8356,3893.9904,3831.245,3871.6338,16.2654,0.4201,115051875.0,207540165.953,,,,,,
2023-01-04,000300.SH,3892.9477,3886.2504,3905.9032,3873.6549,3887.8992,5.0485,0.1299,110660743.0,198997711.686,0.0012985161755223462,0.0012976738325117976,,,,
2023-01-05,000300.SH,3968.5782,3913.4928,3974.875,3912.26,3892.9477,75.6305,1.9428,116502395.0,256312608.292,0.019427566417087982,0.019241260364231842,,,,
2023-01-06,000300.SH,3980.8888,3969.5493,4000.4143,3966.4696,3968.5782,12.3106,0.3102,110953038.0,235744305.582,0.003102017745297392,0.0030972164148969136,,,,
2023-01-09,000300.SH,4013.1196,3998.5278,4023.0898,3990.7073,3980.8888,32.2308,0.8096,117054425.0,233212426.458,0.008096382898211019,0.008063783032646063,3948.6866999999997,,,
2023-01-10,000300.SH,4017.4737,4014.7125,4030.4574,4002.2297,4013.1196,4.3541,0.1085,101751141.0,214871166.24,0.0010849664186434183,0.001084378267956015,3974.6016000000004,,,
2023-01-11,000300.SH,4010.0309,4019.8844,4043.3991,4008.0153,4017.4737,-7.4428,-0.1853,99997889.0,203000262.961,-0.0018526070251561055,-0.0018543252239770138,3998.01824,,,
2023-01-12,000300.SH,4017.8692,4021.7547,4030.2876,4003.5079,4010.0309,7.8383,0.1955,90552627.0,183686268.107,0.0019546732171065173,0.0019527653292073786,4007.87644,,,
2023-01-13,000300.SH,4074.3772,4032.2906,4074.3772,4027.8864,4017.8692,56.508,1.4064,95871896.0,212173997.498,0.014064171128318481,0.013966188302980416,4026.5741199999998,,,
2023-01-16,000300.SH,4137.9643,4077.8793,4177.1035,4076.6394,4074.3772,63.5871,1.5607,151395455.0,319007749.371,0.015606581540854814,0.015486051273287112,4051.54306,,,
2023-01-17,000300.SH,4137.2422,4138.8433,4148.5838,4118.157,4137.9643,-0.7221,-0.0175,95479040.0,204381576.523,-0.00017450609711644471,-0.0001745213250770172,4075.4967600000004,,,
2023-01-18,000300.SH,4130.3143,4140.1019,4151.4577,4125.7687,4137.2422,-6.9279,-0.1675,84200645.0,172126171.819,-0.0016745212547623067,-0.0016759248325780656,4099.55344,,,
2023-01-19,000300.SH,4156.0077,4125.5772,4156.0077,4105.9797,4130.3143,25.6934,0.6221,94608398.0,192699589.774,0.00622068882263993,0.0062014202060171756,4127.181140000001,,,
2023-01-20,000300.SH,4181.5267,4166.8444,4189.831,4161.6698,4156.0077,25.519,0.614,123553809.0,222342455.101,0.006140267738194982,0.006121493109215215,4148.61104,,,
2023-01-30,000300.SH,4201.345,4267.6248,4268.1522,4197.8596,4181.5267,19.8183,0.4739,164607064.0,330193322.092,0.004739489048342094,0.004728293031784344,4161.28718,,,
2023-01-31,000300.SH,4156.8578,4200.5813,4212.7347,4153.0484,4201.345,-44.4872,-1.0589,124550835.0,249365321.627,-0.010588799539195337,-0.010645259794948916,4165.210300000001,,,
2023-02-01,000300.SH,4195.9332,4170.1322,4195.9332,4137.7659,4156.8578,39.0754,0.94,141008954.0,265553944.709,0.00940022533366447,0.009356318159253127,4178.3340800000005,,,
2023-02-02,000300.SH,4181.1493,4207.4123,4207.4123,4170.5565,4195.9332,-14.7839,-0.3523,133823736.0,262497434.837,-0.0035233878365843463,-0.0035296095862316335,4183.3624,,,
2023-02-03,000300.SH,4141.6319,4162.0258,4162.0258,4103.1654,4181.1493,-39.5174,-0.9451,117041221.0,226914770.044,-0.009451324782877246,-0.009496271984206292,4175.38344,,,
2023-02-06,000300.SH,4086.8779,4103.8307,4105.9445,4065.2224,4141.6319,-54.754,-1.322,110192717.0,226345113.969,-0.013220392666958292,-0.0133085599913791,4152.490019999999,4078.5017399999997,,
